CBSA,Core Based Statistical Area,Pollutant,Trend Statistic,Number of Trends Sites,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
26620,"Huntsville, AL",O3,4th Max,1,0.088,0.08,0.078,0.079,0.077,0.075,0.079,0.082,0.073,0.066,0.071,0.072,0.076,0.064,0.064,0.063,0.066,0.063,0.065,0.063,0.057
27260,"Jacksonville, FL",CO,2nd Max,1,3.8,3.4,2.6,2.4,2.3,2.2,1.3,1.9,1.1,0.6,0.7,1.5,1.3,0.7,0.9,0.9,1.6,1.4,1.2,1.2,1.2
28820,"Kinston, NC",O3,4th Max,1,0.081,0.077,0.085,0.082,0.069,0.081,0.071,0.077,0.074,0.064,0.069,0.069,0.069,0.063,0.065,0.062,0.063,0.062,0.064,0.062,0.056
28940,"Knoxville, TN",O3,4th Max,4,0.096,0.087,0.099,0.086,0.075,0.084,0.082,0.087,0.08,0.067,0.075,0.075,0.075,0.061,0.062,0.066,0.068,0.064,0.065,0.063,0.055
29380,"Lake City, FL",O3,4th Max,1,0.074,0.074,0.068,0.073,0.071,0.074,0.071,0.072,0.067,0.057,0.068,0.064,0.062,0.059,0.06,0.058,0.061,0.062,0.063,0.063,0.049
29460,"Lakeland-Winter Haven, FL",O3,4th Max,2,0.078,0.084,0.072,0.076,0.072,0.075,0.077,0.075,0.072,0.066,0.066,0.07,0.071,0.064,0.063,0.063,0.063,0.072,0.066,0.067,0.062
31420,"Macon, GA",O3,4th Max,1,0.097,0.086,0.093,0.081,0.086,0.082,0.077,0.08,0.078,0.07,0.071,0.078,0.072,0.064,0.065,0.062,0.07,0.063,0.064,0.066,0.054
33100,"Miami-Fort Lauderdale-West Palm Beach, FL",CO,2nd Max,1,3.2,4,3.4,3,5.3,2.5,2.2,2,2.1,2.2,1.2,0.9,1.5,1,1.3,1.1,1,1.1,1.1,1.2,0.9
33660,"Mobile, AL",O3,4th Max,2,0.091,0.074,0.077,0.081,0.076,0.073,0.083,0.079,0.073,0.07,0.076,0.071,0.07,0.061,0.069,0.062,0.063,0.064,0.065,0.058,0.052
33860,"Montgomery, AL",O3,4th Max,1,0.086,0.077,0.081,0.066,0.063,0.069,0.074,0.08,0.069,0.064,0.072,0.07,0.066,0.061,0.062,0.063,0.063,0.057,0.062,0.06,0.053
34100,"Morristown, TN",O3,4th Max,1,0.095,0.091,0.099,0.085,0.078,0.084,0.083,0.085,0.075,0.068,0.079,0.073,0.082,0.065,0.067,0.07,0.068,0.065,0.067,0.065,0.058
34940,"Naples-Immokalee-Marco Island, FL",O3,4th Max,1,0.061,0.061,0.061,0.073,0.071,0.065,0.07,0.069,0.071,0.061,0.059,0.06,0.059,0.061,0.058,0.057,0.058,0.062,0.062,0.059,0.057
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",NO2,Annual Mean,1,19,18,16,8,16,18,17,18,15,12,13,12,12,11,10,9,9,8,8,7,7
35840,"North Port-Sarasota-Bradenton, FL",O3,4th Max,5,0.082,0.08,0.072,0.077,0.077,0.075,0.077,0.073,0.071,0.061,0.067,0.07,0.065,0.066,0.063,0.062,0.06,0.065,0.065,0.065,0.057
36100,"Ocala, FL",O3,4th Max,2,0.076,0.073,0.075,0.074,0.074,0.072,0.073,0.073,0.07,0.059,0.067,0.066,0.061,0.061,0.062,0.058,0.061,0.062,0.062,0.061,0.059
36740,"Orlando-Kissimmee-Sanford, FL",CO,2nd Max,1,2.4,2,2.5,1.5,1.6,1.8,1.5,1,1,1.2,1.3,1,1.1,1,1.5,1.2,1.2,1.4,1,0.7,0.9
37260,"Palatka, FL",PM10,2nd Max,1,48,48,48,52,97,63,69,87,73,40,58,63,62,54,36,45,47,58,54,60,47
37340,"Palm Bay-Melbourne-Titusville, FL",O3,4th Max,2,0.078,0.079,0.068,0.072,0.067,0.07,0.076,0.068,0.068,0.063,0.064,0.066,0.065,0.063,0.061,0.059,0.06,0.061,0.06,0.053,0.058
37460,"Panama City, FL",O3,4th Max,1,0.082,0.082,0.071,0.083,0.08,0.078,0.077,0.077,0.075,0.065,0.072,0.07,0.066,0.063,0.065,0.061,0.062,0.059,0.06,0.062,0.058
37860,"Pensacola-Ferry Pass-Brent, FL",O3,4th Max,2,0.09,0.079,0.073,0.082,0.081,0.082,0.083,0.081,0.074,0.071,0.073,0.072,0.07,0.065,0.07,0.062,0.062,0.065,0.067,0.063,0.058
39580,"Raleigh, NC",O3,4th Max,2,0.085,0.084,0.099,0.085,0.075,0.083,0.075,0.081,0.077,0.067,0.073,0.074,0.073,0.062,0.064,0.065,0.068,0.063,0.063,0.063,0.055
42700,"Sebring, FL",O3,4th Max,1,0.056,0.056,0.064,0.074,0.071,0.071,0.077,0.07,0.073,0.062,0.066,0.064,0.062,0.061,0.06,0.058,0.063,0.061,0.06,0.059,0.059
42860,"Seneca, SC",O3,4th Max,1,0.082,0.079,0.086,0.079,0.075,0.075,0.065,0.076,0.072,0.066,0.069,0.061,0.064,0.053,0.064,0.06,0.067,0.062,0.062,0.065,0.065
42940,"Sevierville, TN",O3,4th Max,2,0.098,0.09,0.1,0.082,0.074,0.079,0.081,0.087,0.08,0.069,0.078,0.076,0.07,0.064,0.067,0.066,0.068,0.063,0.066,0.062,0.06
43900,"Spartanburg, SC",O3,4th Max,1,0.089,0.09,0.093,0.079,0.082,0.082,0.085,0.083,0.085,0.067,0.076,0.081,0.063,0.065,0.065,0.067,0.069,0.064,0.062,0.068,0.064
45220,"Tallahassee, FL",O3,4th Max,2,0.077,0.076,0.07,0.076,0.071,0.071,0.07,0.071,0.071,0.058,0.067,0.065,0.066,0.062,0.06,0.059,0.061,0.062,0.06,0.061,0.055
45300,"Tampa-St. Petersburg-Clearwater, FL",CO,2nd Max,1,2.1,2.1,2.3,1.8,1.6,1.5,1.2,2.1,1.1,1.2,1.1,1,1.1,0.9,0.8,0.6,0.7,0.6,0.5,0.5,0.5
46220,"Tuscaloosa, AL",O3,4th Max,1,0.081,0.081,0.083,0.07,0.068,0.074,0.077,0.08,0.068,0.055,0.06,0.06,0.058,0.059,0.057,0.062,0.061,0.058,0.063,0.06,0.052
46660,"Valdosta, GA",PM2.5,Weighted Annual Mean,1,15.6,13.7,11.8,11.9,12,12.1,12.8,11.2,9.7,9.8,10.8,9.7,8.6,8.5,9,7.9,7.3,8.2,6.9,7.6,8
47580,"Warner Robins, GA",PM2.5,Weighted Annual Mean,1,12.4,12.4,12.4,13,14.4,13.9,14.5,15.4,11.7,10.4,12.2,11.4,9.5,8.7,9.4,8.6,7.9,8.3,8.8,9.5,8.9
